iter	RMSE
0	2.890158274
1	2.732444778
2	2.617155532
3	2.500023167
4	2.420447933
5	2.348917326
6	2.27167456
7	2.202219787
8	2.15322991
9	2.105207632
10	2.070735086
11	2.029980781
12	2.001864594
13	1.976786191
14	1.951288197
15	1.92786188
16	1.911402685
17	1.892314823
18	1.872828738
19	1.856601612
20	1.843721834
21	1.833429559
22	1.820963789
23	1.808711304
24	1.796978039
25	1.782090334
26	1.773014773
27	1.761504042
28	1.75330612
29	1.744158324
30	1.739371726
31	1.733210043
32	1.723009903
33	1.715139254
34	1.711101851
35	1.703200935
36	1.698458453
37	1.689714443
38	1.684375575
39	1.676278895
40	1.671150881
41	1.666851136
42	1.66126562
43	1.65836806
44	1.654460195
45	1.649600548
46	1.645973113
47	1.641726247
48	1.635831091
49	1.633828353
50	1.63110805
51	1.627179424
52	1.624502049
53	1.622229486
54	1.619535476
55	1.616910217
56	1.613363233
57	1.609337527
58	1.606206923
59	1.604499986
60	1.601120551
61	1.598632192
62	1.594963388
63	1.592283464
64	1.59077481
65	1.589146837
66	1.587244916
67	1.584960996
68	1.582458719
69	1.579457031
70	1.576803064
71	1.575107073
72	1.573155025
73	1.571245892
74	1.567522723
75	1.565119711
76	1.563887712
77	1.561892963
78	1.559120374
79	1.556912639
80	1.554657969
81	1.55237366
82	1.551221805
83	1.548708868
84	1.54661598
85	1.544495778
86	1.542624206
87	1.540861655
88	1.538259613
89	1.536597491
90	1.534610132
91	1.532513143
92	1.530843371
93	1.528577395
94	1.526867904
95	1.525139795
96	1.522848668
97	1.520493351
98	1.518566053
99	1.516389251
100	1.514601729
101	1.51301339
102	1.510902322
103	1.508969076
104	1.507310995
105	1.505529189
106	1.503619902
107	1.502136278
108	1.500593096
109	1.498771969
110	1.497164144
111	1.495675673
112	1.49441358
113	1.492962454
114	1.491643794
115	1.489841981
116	1.488281881
117	1.486530637
118	1.484881747
119	1.483241326
120	1.482013116
121	1.480560273
122	1.479315168
123	1.478125002
124	1.476612271
125	1.47555198
126	1.474272944
127	1.473410781
128	1.472239575
129	1.471081717
130	1.469734446
131	1.468575159
132	1.46735004
133	1.465986685
134	1.465102514
135	1.463993336
136	1.462828235
137	1.461875268
138	1.461008383
139	1.45990492
140	1.458821371
141	1.457901608
142	1.456991432
143	1.455602268
144	1.454927883
145	1.454181971
146	1.453280027
147	1.452527143
148	1.451511853
149	1.450699848
150	1.449356128
151	1.448438373
152	1.447201951
153	1.446353422
154	1.445464071
155	1.444568773
156	1.443589851
157	1.442614768
158	1.441598297
159	1.440753782
160	1.439876017
161	1.438987899
162	1.43784826
163	1.437023909
164	1.436338586
165	1.435334191
166	1.434447186
167	1.433715101
168	1.432916537
169	1.431704335
170	1.430824792
171	1.430251091
172	1.429312418
173	1.428616551
174	1.427833804
175	1.427314212
176	1.426652616
177	1.425791716
178	1.425077893
179	1.424000929
180	1.423311001
181	1.422725363
182	1.422088313
183	1.421461096
184	1.42077152
185	1.420026004
186	1.418813827
187	1.417893674
188	1.417290653
189	1.416554242
190	1.415920351
191	1.415283395
192	1.414646716
193	1.413802688
194	1.413218895
195	1.412658235
196	1.411990657
197	1.411263382
198	1.410735144
199	1.410233925
200	1.409489519
201	1.408878162
202	1.408310278
203	1.407453824
204	1.406012959
205	1.405331237
206	1.404595465
207	1.403997982
208	1.403242069
209	1.40243555
210	1.401978529
211	1.401250975
212	1.400582591
213	1.400092158
214	1.399679938
215	1.398943998
216	1.397784833
217	1.397149863
218	1.396692502
219	1.396109336
220	1.395394791
221	1.394913244
222	1.394347222
223	1.393444761
224	1.392994095
225	1.392569804
226	1.391992822
227	1.39101584
228	1.390427518
229	1.390026685
230	1.389568291
231	1.388977969
232	1.388079219
233	1.387300087
234	1.386774501
235	1.38592539
236	1.385121021
237	1.384633513
238	1.38426404
239	1.383306794
240	1.382817501
241	1.38228089
242	1.381877287
243	1.381576576
244	1.381066429
245	1.380742086
246	1.380111612
247	1.379689068
248	1.379373962
249	1.378791048
250	1.378322764
251	1.377809912
252	1.377509343
253	1.376977646
254	1.376561527
255	1.376151462
256	1.375319596
257	1.374559494
258	1.374187754
259	1.37381445
260	1.373193104
261	1.372821755
262	1.372311559
263	1.371964639
264	1.371559071
265	1.371123341
266	1.370282686
267	1.369857659
268	1.369204875
269	1.368680161
270	1.368137803
271	1.367754853
272	1.367249311
273	1.366628354
274	1.366231964
275	1.365909033
276	1.365416495
277	1.365397825
278	1.364789248
279	1.364782923
280	1.364383493
281	1.363855969
282	1.363474511
283	1.362679343
