iter	Passed	Remaining
0	78	99227
1	110	69716
2	134	56607
3	156	49157
4	170	42955
5	183	38534
6	199	35858
7	216	34001
8	230	32058
9	244	30686
10	260	29630
11	275	28761
12	289	27847
13	305	27223
14	318	26458
15	333	26025
16	351	25747
17	365	25298
18	381	24981
19	399	24837
20	415	24575
21	431	24344
22	448	24155
23	464	23957
24	482	23882
25	501	23879
26	519	23773
27	536	23644
28	552	23506
29	567	23330
30	581	23128
31	597	22972
32	613	22871
33	628	22721
34	644	22621
35	659	22484
36	676	22430
37	691	22296
38	708	22242
39	724	22144
40	740	22069
41	757	22022
42	772	21911
43	787	21822
44	803	21756
45	820	21719
46	836	21651
47	854	21620
48	870	21569
49	886	21508
50	901	21416
51	917	21360
52	931	21275
53	948	21238
54	964	21177
55	977	21065
56	993	21029
57	1009	20971
58	1026	20938
59	1046	20990
60	1063	20956
61	1080	20921
62	1096	20877
63	1111	20832
64	1125	20745
65	1140	20677
66	1154	20614
67	1171	20586
68	1188	20565
69	1203	20511
70	1217	20444
71	1231	20373
72	1248	20349
73	1262	20282
74	1277	20242
75	1292	20179
76	1307	20141
77	1323	20112
78	1338	20056
79	1354	20028
80	1370	19997
81	1387	19983
82	1403	19956
83	1420	19940
84	1436	19914
85	1452	19884
86	1467	19829
87	1481	19786
88	1500	19789
89	1515	19751
90	1531	19719
91	1546	19685
92	1562	19659
93	1576	19603
94	1593	19592
95	1610	19582
96	1628	19580
97	1648	19593
98	1666	19589
99	1684	19585
100	1704	19609
101	1720	19581
102	1739	19594
103	1756	19570
104	1770	19525
105	1785	19488
106	1802	19477
107	1818	19446
108	1835	19431
109	1851	19411
110	1865	19364
111	1883	19355
112	1901	19346
113	1920	19359
114	1936	19328
115	1956	19347
116	1971	19313
117	1992	19335
118	2011	19340
119	2030	19339
120	2047	19326
121	2065	19315
122	2083	19313
123	2099	19284
124	2117	19275
125	2133	19250
126	2151	19246
127	2168	19227
128	2185	19208
129	2200	19176
130	2219	19176
131	2234	19144
132	2254	19153
133	2272	19148
134	2289	19127
135	2304	19094
136	2319	19060
137	2334	19034
138	2351	19011
139	2364	18970
140	2383	18969
141	2399	18942
142	2414	18907
143	2429	18881
144	2446	18860
145	2461	18830
146	2478	18816
147	2495	18800
148	2511	18773
149	2529	18770
150	2551	18791
151	2574	18818
152	2596	18835
153	2613	18822
154	2630	18805
155	2650	18811
156	2669	18802
157	2687	18793
158	2706	18791
159	2723	18773
160	2741	18766
161	2756	18735
162	2772	18709
163	2788	18687
164	2804	18662
165	2820	18636
166	2835	18612
167	2850	18581
168	2868	18571
169	2883	18541
170	2898	18506
171	2915	18490
172	2930	18464
173	2948	18452
174	2965	18438
175	2982	18422
176	2998	18400
177	3014	18374
178	3028	18340
179	3045	18321
180	3061	18298
181	3075	18267
182	3092	18251
183	3107	18222
184	3126	18218
185	3143	18203
186	3160	18187
187	3179	18178
188	3197	18167
189	3215	18161
190	3233	18148
191	3253	18149
192	3274	18154
193	3292	18142
194	3309	18126
195	3327	18116
196	3345	18101
197	3361	18081
198	3377	18060
199	3393	18036
200	3408	18009
201	3423	17980
202	3439	17957
203	3456	17942
204	3473	17925
205	3493	17924
206	3509	17903
207	3525	17883
208	3546	17883
209	3563	17867
210	3579	17844
211	3598	17838
212	3615	17821
213	3632	17803
214	3648	17783
215	3664	17760
216	3682	17748
217	3698	17727
218	3714	17708
219	3733	17700
220	3752	17693
221	3769	17674
222	3787	17663
223	3805	17649
224	3823	17638
225	3839	17618
226	3859	17614
227	3877	17601
228	3893	17582
229	3912	17574
230	3927	17547
231	3944	17529
232	3959	17504
233	3975	17484
234	3992	17465
235	4010	17452
236	4028	17438
237	4047	17433
238	4065	17417
239	4081	17398
240	4099	17384
241	4117	17373
242	4133	17351
243	4150	17333
244	4165	17309
245	4183	17293
246	4198	17270
247	4215	17254
248	4231	17233
249	4249	17218
250	4268	17210
251	4285	17191
252	4302	17174
253	4320	17162
254	4342	17165
255	4357	17138
256	4373	17121
257	4393	17114
258	4410	17097
259	4425	17072
260	4440	17047
261	4459	17039
262	4475	17016
263	4491	16995
264	4506	16970
265	4520	16944
266	4537	16927
267	4558	16923
268	4575	16906
269	4591	16884
270	4609	16874
271	4628	16864
272	4647	16854
273	4666	16842
274	4683	16825
275	4702	16816
276	4718	16795
277	4734	16773
278	4750	16755
279	4764	16726
280	4778	16697
281	4794	16678
282	4811	16660
283	4826	16637
284	4842	16617
285	4857	16592
286	4874	16575
287	4889	16554
288	4904	16529
289	4920	16509
290	4936	16490
291	4955	16480
292	4972	16461
293	4988	16443
294	5003	16418
295	5020	16400
296	5033	16372
297	5048	16348
298	5063	16324
299	5078	16301
300	5094	16281
301	5111	16264
302	5127	16244
303	5142	16221
304	5158	16202
305	5169	16167
306	5184	16143
307	5198	16117
308	5214	16097
309	5231	16082
310	5245	16056
311	5262	16039
312	5280	16028
313	5298	16012
314	5313	15990
315	5328	15968
316	5343	15945
317	5362	15934
318	5379	15919
319	5396	15903
320	5411	15880
321	5427	15859
